기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20244,11620625,인헌동,CS100005,제과점,423106375,49208,286168179,136938196,55551372,74097498,56635310,40549903,59334096,73937877,63000319,0,64444740,79294469,92154637,148934189,38278340,184273453,232261507,2130455,55477584,83177697,92406355,96260095,87082774,34277,14931,7679,7909,6723,4759,7207,7630,7301,0,7798,8977,10778,17275,4380,20705,28227,294,7784,11397,9775,10128,9555
20244,11620630,남현동,CS100005,제과점,400990908,43953,275812735,125178173,56550310,62836413,48882217,47479676,60064119,71794655,53383518,0,59799927,77196565,81591168,137564412,44838836,168574613,208023910,2628044,67838730,91434527,65855025,73393088,75449110,31239,12714,6316,6949,5663,5721,6590,6767,5947,0,8589,8359,8202,14049,4754,17404,25004,431,9478,11032,6991,7551,6925
20244,11620645,서원동,CS100005,제과점,389073572,44575,288923232,100150340,52911353,67377085,53804332,51873802,62956660,61563560,38586780,0,80940810,96433064,86548288,97135586,28015824,157896941,211467638,2596026,62457374,92821867,84155315,67365587,59968409,33056,11519,6306,7368,6106,6213,7063,7359,4160,0,10447,10233,9885,10916,3094,18039,25675,362,8636,12061,9789,7239,5626
20244,11620655,신원동,CS100005,제과점,190846017,17831,128610474,62235543,26774896,26581271,24399432,20925001,29929874,29150424,33085119,0,31897000,42673953,41832835,60887570,13554659,71227635,99271846,1673114,21969745,37865706,31819210,36475178,40696529,12270,5561,2397,2483,2514,2284,2592,2639,2922,0,2965,4145,3947,5420,1354,6747,10349,185,2702,4120,3162,3307,3623
20244,11620665,서림동,CS100005,제과점,206005749,20811,140635268,65370481,23977337,31632131,32922659,26539418,25563723,35477825,29892656,433735,29570555,38173340,45570968,68011804,24245347,101353785,104651964,1211065,26449076,47297272,46426191,37006305,47615840,14613,6198,2722,2957,2952,3107,2875,3174,3024,36,3416,3183,4324,7006,2846,9508,11303,124,3579,5192,4095,3521,4300
20244,11620685,신사동,CS100005,제과점,542283686,51214,397674693,144608993,65814050,89548806,67118797,80990322,94202718,73661679,70947314,827635,72628713,106301494,119874267,186703971,55947606,237143940,303185789,3422285,72924328,108654685,94541775,132830912,127955744,38219,12995,6691,7607,6461,8476,8984,6803,6192,150,7252,10304,11171,17165,5172,21874,29233,497,8319,10907,8272,11920,11194
20244,11620695,신림동,CS100005,제과점,100020941,14625,68487452,31533489,12975638,14077751,12817065,13478227,15138771,16707649,14825840,1941868,23891401,17112249,19293293,26935909,10846221,47377781,52643160,218462,20048388,24955330,14014802,22805623,17978336,10219,4406,2034,2012,2002,1970,2201,2288,2118,390,3677,2308,2613,3993,1644,7260,7365,43,3825,4208,2041,2573,1935
20244,11620715,난향동,CS100005,제과점,29515808,2506,22656589,6859219,3620106,4912577,4868260,4709511,4546135,4279571,2579648,433910,1649652,9031415,9448789,7842794,1109248,10664453,17599233,180575,2976919,4484804,7332442,8294192,4994753,1963,543,338,449,391,362,423,417,126,26,159,720,840,688,73,876,1598,13,272,365,570,710,543
20244,11620725,조원동,CS100005,제과점,213270986,20590,150817162,62453824,24612534,35090988,35706746,24628575,30778319,35481388,26972436,530934,25027968,39235036,41092738,83743770,23640540,94486177,118784809,910951,44648538,51799611,44642005,42009251,29260630,14833,5757,2580,3065,3364,2667,3157,3143,2614,34,2568,3722,4047,7866,2353,8344,12246,181,4521,5445,3832,3875,2736
20244,11620735,대학동,CS100005,제과점,779985354,93229,562587699,217397655,129726253,130488365,103352809,95640439,103379833,110541496,106856159,1280101,136027113,159232015,158281160,242273752,82891213,363728873,349995402,6995539,148921761,161551415,134212024,135535328,126508211,66920,26309,13857,14552,12695,12914,12902,13400,12909,263,15287,18157,18008,29706,11808,45291,46114,1197,22674,21907,14693,16154,14779
20244,11620745,삼성동,CS100005,제과점,11885642,729,6577009,5308633,132467,0,3728959,1275000,1440583,3238829,2069804,0,1192207,1732012,5358309,3603114,0,4980776,6904866,0,1271688,4470777,3725646,629220,1788311,397,332,33,0,199,99,66,233,99,0,33,166,298,232,0,297,432,0,266,165,166,66,66
20244,11620765,미성동,CS100005,제과점,484099514,42835,356877969,127221545,56986308,85553091,62505521,68505254,83327795,76794547,50426998,15531,78022955,112140429,107820768,144254654,41845177,177091539,239284617,3379889,36182079,75494802,101076112,103319338,96923937,31913,10922,5891,7311,6480,5809,6422,6404,4518,6,7415,8322,9048,13562,4482,16507,25249,570,4375,7989,9423,10033,9367
20244,11620775,난곡동,CS100005,제과점,278423327,29747,210403182,68020145,45326537,49430536,39991598,36882160,38772351,42484409,25535736,0,56617183,56010167,66482156,85561801,13752020,113858081,136924825,2973637,17484124,39064986,47543837,63710896,80005424,22304,7443,5037,4827,4216,3869,4355,4628,2815,0,5825,5774,7222,9333,1593,13582,15361,399,2264,4986,5428,7086,8778
20244,11650510,서초1동,CS100005,제과점,673381747,33384,463740553,209641194,67862185,115084960,81420451,89579979,109792978,110886181,98755013,0,127681001,221713234,195359738,118751164,9876610,250581767,319670614,916840,48943113,106723093,130262967,147371266,136035106,23378,10006,3456,5462,4236,4956,5268,5442,4564,0,6148,11479,9409,5826,522,12611,17650,61,3237,6493,7025,7163,6282
20244,11650520,서초2동,CS100005,제과점,1696362598,164845,1345230408,351132190,244064006,285890433,258574120,271791956,284909893,192197541,158934649,44039,338023211,473256385,359098627,433932739,92007597,571172863,889464812,17113126,290644658,409047690,334317948,248438911,161075345,131675,33170,24637,27997,25158,25744,28139,18024,15146,6,40458,44611,31861,39196,8713,58717,93147,2032,32757,47759,32540,23353,13421
20244,11650530,서초3동,CS100005,제과점,4330185147,337392,3060715789,1269469358,448754544,682889573,608953643,600141880,719976149,663867506,605601852,0,653053150,1352577876,1118199443,1109813635,96541043,1394703655,2262629154,26709005,435172611,800198761,956847925,841141958,597262544,241511,95881,38838,51538,48356,48104,54675,49609,46272,0,64946,93987,83421,86996,8042,116667,191427,4005,49043,72232,73576,64253,44979
20244,11650531,서초4동,CS100005,제과점,980823018,92136,780722867,200100151,149206752,172063655,150306628,147117242,162028590,112182899,87917252,425070,205962850,368928340,201131283,185622576,18752899,332487471,434544217,5337221,60840217,145353847,204566196,178720948,172213261,75120,17016,14315,16157,15051,14527,15070,9208,7808,68,22878,32173,18969,16566,1482,31472,44973,773,8489,17048,19594,16483,14055
20244,11650540,잠원동,CS100005,제과점,219058401,21024,159618454,59439947,28997790,37733824,28115732,31353928,33417180,35547515,23892432,0,59660449,58072565,44838804,44418660,12067923,74926347,117819353,2619709,6829904,26522547,58466948,45605908,52700685,15537,5487,3051,3243,2996,3161,3086,3237,2250,0,5585,5213,4558,4528,1140,7683,12246,330,965,3251,5993,4388,5003
20244,11650560,반포1동,CS100005,제과점,567625867,54630,436938578,130687289,83857506,98860964,86870357,81599146,85750605,80152716,50534573,699109,114434477,122722726,123894055,154596842,51278658,220744795,288821200,6464587,28413746,82003922,173113252,112042847,107527640,41821,12809,8394,8858,8686,7958,7925,7638,5171,60,10322,11388,12697,14945,5218,22043,29638,1297,3398,8332,18157,10444,10053
20244,11650570,반포2동,CS100005,제과점,126709855,11553,95021092,31688763,22677162,19471097,18953063,18112062,15807708,18221353,13467410,0,37183528,29586997,31133195,28699074,107061,43597485,63456166,1062005,7362529,14467473,32533461,26374792,25253395,8355,3198,1904,1549,1779,1613,1510,1860,1338,0,2831,2721,3134,2861,6,4346,6475,249,911,1778,3078,2575,2231
20244,11650580,반포3동,CS100005,제과점,522379302,61106,371911265,150468037,59427773,93408226,70703138,69423251,78948877,81315227,69152810,0,102215711,136224844,132466395,124496677,26975675,201333269,295842579,3025127,27750687,64895697,182224282,124228920,95051133,43421,17685,7092,9836,8717,8632,9144,9257,8428,0,11523,16211,15471,15148,2753,23835,35915,664,4401,8750,20023,14679,11231
20244,11650581,반포4동,CS100005,제과점,3685578276,199205,2799616034,885962242,496388473,589219393,661731834,460758168,591518166,508032274,377929968,0,694901708,1101704962,1051961644,801722109,35287853,1167616132,1567292108,5109737,235328336,553816231,737699292,632243630,570711013,149192,50013,27420,32839,30670,27834,30429,29625,20388,0,40684,64673,52922,38663,2263,73677,104498,571,16968,37106,47328,38261,37941
20244,11650590,방배본동,CS100005,제과점,383196577,29132,262428595,120767982,45346206,60869453,55964302,45693613,54555021,53576359,67191623,0,45059002,110728550,108039392,101206810,18162823,153363749,189789941,1548636,32837139,73291916,94783389,76562905,64129707,19909,9223,3773,4430,4116,3576,4014,4298,4925,0,3972,8243,7920,7640,1357,12048,15012,287,2895,5417,7572,6074,4815
20244,11650600,방배1동,CS100005,제과점,530603084,49893,382241736,148361348,71256629,86611082,70018250,79982384,74373391,78944877,69416471,0,105581719,155987380,121841843,123628643,23563499,190123382,271169235,5046692,40207387,63952985,84445671,118061355,149578529,38260,11633,7131,8370,7416,7929,7414,6194,5439,0,12315,11430,10840,12350,2958,19718,27189,951,7704,8995,8690,9555,11010
20244,11650610,방배2동,CS100005,제과점,662156215,49510,448558614,213597601,69905007,105716524,90498194,89796854,92642035,114809992,98787609,0,86144810,189917731,165808889,191106670,29178115,218338170,364973773,2802566,92306899,146966043,117442060,122589744,101204629,33836,15674,5860,6801,7143,6966,7066,8325,7349,0,7108,13326,12119,14787,2170,18065,28289,420,7955,11916,9178,9326,7557
20244,11650620,방배3동,CS100005,제과점,880779798,64907,636119191,244660607,108832177,141417962,136167894,109057052,140644106,137008019,107652588,0,174976883,246631470,237375864,204773693,17021888,313070641,414306304,2770249,40555382,131675217,174686304,156893966,220795826,46178,18729,8867,9733,9493,8330,9755,10386,8343,0,11989,17424,17032,17251,1211,25866,35315,349,5046,11096,15030,12989,16668
20244,11650621,방배4동,CS100005,제과점,1364777415,86416,1048677438,316099977,249520143,182171350,192444106,211149599,213392240,182773695,133326282,0,291030930,380159173,325247546,344111036,24228730,430444373,544203251,2038099,106774100,237077462,197462449,179630532,251664980,69075,17341,12968,14727,13159,13181,15040,11051,6290,0,20762,26987,19497,18543,627,29087,45624,260,8645,15651,15281,14876,19997
20244,11650651,양재1동,CS100005,제과점,1762737942,233142,1459639559,303098383,273545952,330039690,272914749,282495026,300644142,168862422,134235961,0,474116124,431801802,348935392,410222726,97661898,588005399,681703199,7435319,142056250,281298472,335804839,250424242,252689478,190959,42183,36950,40435,37495,37373,38706,23422,18761,0,75928,47778,39656,56210,13570,97462,110629,2199,31561,51396,50169,38304,34465
20244,11650652,양재2동,CS100005,제과점,2300262777,253494,1672378603,627884174,302943147,361232641,316867070,312086680,379249065,312314871,315569303,219616,616727589,583093270,531694299,469949933,98578070,920810911,1015180675,9158459,127907796,377628079,525987398,428559175,466750675,177370,76124,34721,39128,34793,33611,35117,38521,37603,31,60387,68311,59912,54820,10033,111224,126746,1360,19998,50290,59224,50121,56978
20244,11650660,내곡동,CS100005,제과점,120740845,11351,88739608,32001237,14890574,17236683,18551180,16702152,21359019,15249439,16751798,0,34902622,23234152,22341842,33202068,7060161,49252450,52560326,626986,7219666,21787344,34642660,19198366,18337755,8547,2804,1709,1656,1881,1670,1631,1359,1445,0,3605,1958,2121,2898,769,4607,5469,109,986,2394,2913,1896,1780
20244,11680510,신사동,CS100005,제과점,1628590487,96422,1100707251,527883236,174634150,229010195,225520794,216483436,255058676,281918618,245964618,100574,211206115,457642153,462417376,451852725,45371544,474392219,954793645,13290754,341567719,430117012,276943781,226930327,140336269,65068,31354,10770,13164,13517,12983,14634,16721,14633,11,12014,25302,27442,28464,3189,28073,60974,1245,24209,26485,16170,12770,8170
